"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 07:11:45 GMT 2024","Sat Aug 31 07:11:46 GMT 2024","811","","api.tests.userTests","","api.tests.userTests","createNewUserTest","createNewUserTest()",""
"failed","Sat Aug 31 07:11:38 GMT 2024","Sat Aug 31 07:11:40 GMT 2024","1846","","api.tests.userTests","","api.tests.userTests","getUserListTest","getUserListTest()",""
"passed","Sat Aug 31 07:11:40 GMT 2024","Sat Aug 31 07:11:43 GMT 2024","2638","","api.tests.userTests","","api.tests.userTests","readUserTest","readUserTest()",""
"passed","Sat Aug 31 07:11:43 GMT 2024","Sat Aug 31 07:11:45 GMT 2024","1560","","api.tests.userTests","","api.tests.userTests","updateUserTest","updateUserTest()",""
"passed","Sat Aug 31 07:11:43 GMT 2024","Sat Aug 31 07:11:43 GMT 2024","837","","api.tests.userTests","","api.tests.userTests","deleteAllUsers","deleteAllUsers()",""
"passed","Sat Aug 31 07:11:46 GMT 2024","Sat Aug 31 07:11:47 GMT 2024","1213","","api.tests.userTests","","api.tests.userTests","deleteUserTest","deleteUserTest()",""
